class,aa_000,ac_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000,ad_000,cf_000,cg_000,ch_000,co_000,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000
neg,33186,278.0,0.0,0.0,0.0,0.0,0.0,6782.0,927632.0,1573686.0,117482.0,4762.0,0.0,0.0,1202278.0,0.0,0.0,0.0,13348.0,23030.0,2272406.0,2006524.0,1216652.0,250164.0,0.0,0.0,0.0,0.0,1112.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304754.0,2325590.0,0.0,2048.0,294.0,632.0,1734.0,109116.0,2516520.0,0.0,0.0,0.0,0.0,883420.0,746194.0,333568.0,192628.0,111980.0,76550.0,67396.0,99954.0,68238.0,50416.0,3502316.0,1238.0,1290.0,300.0,0.0,1202278.0,42730.0,926966.0,288480.0,419200.0,470000.0,1310700.0,325980.0,33186.06,3502316.0,3502316.0,3505558.0,13517.0,1560.0,107194.0,1081940.0,2630344.0,1209600.0,96766.0,2051280.96,57254.4,517151.04,,,0.0,982.0,233522.0,1678506.0,640070.0,66880.0,7526.0,2478.0,380.0,0.0,16.0,3502316.0,2400.0,324.0,60728.0,434838.0,133408.0,1626176.0,358912.0,13414.0,144.0,0.0,2474.0,120.0,0.0,0.0,1460.0,57926.0,0.0,0.0,0.0,0.0,19498.0,8462.0,1716.0,8227782.0,990136.0,130058.0,15240.0,90140.0,23682.0,2774240.0,41294.0,0.0,0.0,32186130.0,,,593926.0,569928.0,354236.0,117824.0,225548.0,225538.0,329364.0,211184.0,2796.0,0.0,0.0,0.0,164.0,106.0,118.0,0.0,8.0,174.0,512.0,2004844.0,285068.0,0.0,20.0,0.0,0.0,2073466.0
neg,51338,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,27754.0,1205220.0,1604094.0,273302.0,5254.0,0.0,1607786.0,0.0,0.0,0.0,0.0,0.0,2813874.0,2521512.0,406884.0,234822.0,0.0,0.0,0.0,0.0,1104.0,120.0,0.0,0.0,0.0,0.0,0.0,144720.0,1737258.0,565626.0,668020.0,0.0,3780.0,750.0,824.0,1200.0,24342.0,3083330.0,1398.0,0.0,0.0,0.0,993198.0,582550.0,314244.0,252936.0,229792.0,234810.0,409940.0,98154.0,0.0,0.0,3221546.0,0.0,404.0,118.0,12.0,1607786.0,44442.0,184678.0,221318.0,141520.0,155840.0,,102600.0,51337.65,3221546.0,3221546.0,3238704.0,17332.0,21052.0,75496.0,794360.0,3115624.0,1209600.0,105700.0,2689057.92,0.0,422215.68,0.0,154.0,0.0,0.0,0.0,291578.0,1368100.0,1055234.0,327658.0,59492.0,11290.0,2272.0,12.0,3221546.0,6262.0,698.0,16142.0,292080.0,158988.0,2150106.0,485972.0,5376.0,0.0,0.0,2340.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22034.0,53636.0,9554.0,0.0,0.0,110188.0,28446.0,72280.0,29504.0,0.0,0.0,0.0,0.0,11805300.0,1397.54,1554.0,455630.0,502088.0,361986.0,165670.0,315226.0,272122.0,208974.0,177402.0,597048.0,59478.0,0.0,0.0,1796.0,0.0,76.0,0.0,6.0,2898.0,200.0,2649352.0,44200.0,0.0,16220.0,0.0,0.0,2704934.0
neg,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,236,2130706434.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13152.0,9320.0,0.0,0.0,0.0,9090.0,0.0,0.0,0.0,0.0,0.0,26920.0,22382.0,19710.0,1842.0,0.0,0.0,0.0,0.0,24.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13654.0,8826.0,0.0,86.0,6.0,16.0,1046.0,730.0,2114.0,18482.0,0.0,0.0,0.0,12308.0,6524.0,1210.0,1098.0,286.0,88.0,830.0,132.0,2.0,2.0,46646.0,6.0,18.0,170.0,0.0,9090.0,346.0,15618.0,4058.0,,,,19480.0,235.51,46646.0,46646.0,47472.0,103.0,0.0,4472.0,46380.0,22550.0,1209600.0,1010.0,14805.12,0.0,5938.56,0.0,26.0,0.0,0.0,0.0,4568.0,15048.0,2646.0,212.0,6.0,0.0,0.0,14.0,46646.0,1820.0,10.0,96.0,588.0,3168.0,15894.0,902.0,2.0,0.0,0.0,94.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,4.0,4.0,2624.0,602.0,442.0,92.0,64520.0,6440.0,13430.0,10.0,0.0,0.0,0.0,106.74,64.0,7930.0,4892.0,1942.0,378.0,630.0,1304.0,1084.0,4320.0,0.0,0.0,0.0,0.0,26.0,2.0,8.0,0.0,10.0,40.0,806.0,15534.0,5538.0,0.0,16.0,0.0,0.0,15544.0
neg,12082,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,66372.0,580878.0,245730.0,13756.0,374.0,392096.0,0.0,0.0,0.0,0.0,0.0,764706.0,611990.0,222240.0,126082.0,0.0,0.0,0.0,0.0,2152.0,370.0,0.0,0.0,0.0,0.0,0.0,9370.0,328432.0,549514.0,20814.0,0.0,1052.0,802.0,1902.0,8988.0,476996.0,418014.0,376.0,0.0,0.0,0.0,374340.0,238420.0,96572.0,62592.0,38808.0,27158.0,30280.0,39960.0,0.0,0.0,987218.0,72.0,1586.0,298.0,0.0,392096.0,13744.0,98906.0,121902.0,,,,219320.0,12082.19,987218.0,987218.0,983954.0,4821.0,25912.0,96542.0,984300.0,908130.0,1209600.0,33556.0,768325.44,0.0,138839.04,0.0,0.0,0.0,0.0,0.0,26706.0,220826.0,502430.0,147436.0,9052.0,1586.0,94.0,16.0,987218.0,1974.0,282.0,38930.0,69422.0,52998.0,510368.0,223430.0,10630.0,96.0,0.0,868.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7908.0,9940.0,2598.0,0.0,0.0,27576.0,5516.0,3215300.0,518848.0,0.0,0.0,0.0,0.0,1041060.0,521.42,612.0,147722.0,213150.0,126746.0,66510.0,130464.0,145242.0,39318.0,17574.0,20674.0,730.0,0.0,0.0,922.0,2.0,44.0,0.0,12.0,1576.0,1206.0,696108.0,80168.0,22416.0,108.0,0.0,38.0,775500.0
neg,184228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75932.0,2108042.0,1539538.0,571870.0,93274.0,4068.0,8595408.0,0.0,120.0,0.0,34690.0,54856.0,15472314.0,13129832.0,4105254.0,2119688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4216.0,1068120.0,3320388.0,0.0,3930.0,2032.0,2400.0,3668.0,10542.0,4155804.0,214348.0,0.0,0.0,0.0,2184078.0,791706.0,401508.0,277684.0,173618.0,119098.0,89334.0,70884.0,36584.0,248230.0,19614450.0,0.0,0.0,0.0,0.0,8595408.0,308498.0,1219220.0,2878374.0,259860.0,275360.0,229680.0,48460.0,184227.57,19614450.0,19614450.0,4642414.0,19353.0,0.0,4342.0,233220.0,4395064.0,1209600.0,0.0,11473430.4,922627.2,6351928.32,48.0,522.0,0.0,0.0,3400.0,190394.0,1570150.0,1559650.0,400122.0,188692.0,177432.0,302884.0,0.0,19614450.0,5002.0,722.0,1274228.0,296098.0,241304.0,1384544.0,1178892.0,11930.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,1580.72,1546.0,1654282.0,708204.0,385686.0,178934.0,352310.0,172124.0,557568.0,381066.0,2370.0,180.0,0.0,0.0,492.0,28.0,46.0,0.0,10.0,450.0,116.0,2811192.0,871368.0,0.0,2.0,0.0,0.0,2872828.0
pos,121166,10044.0,0.0,0.0,0.0,0.0,0.0,28064.0,3447262.0,6838768.0,5501646.0,402770.0,7926.0,0.0,7387296.0,169982.0,0.0,0.0,232548.0,580478.0,11696386.0,8050060.0,5833822.0,3257318.0,0.0,0.0,0.0,0.0,207284.0,18738.0,3108720.0,1531114.0,753414.0,913586.0,809372.0,926094.0,1522160.0,2257586.0,4404390.0,0.0,39776.0,31318.0,52540.0,1429386.0,8487728.0,6182760.0,2928.0,0.0,0.0,0.0,9664998.0,2780076.0,1507932.0,955002.0,578738.0,371202.0,248282.0,105606.0,13510.0,1090.0,17768638.0,780.0,800.0,1112.0,930.0,7387296.0,343312.0,2780954.0,3032424.0,407660.0,442940.0,476600.0,275240.0,121166.38,17768638.0,17768638.0,17392746.0,59442.0,513870.0,39574.0,780160.0,16226436.0,1209600.0,0.0,13356534.72,0.0,2840713.92,,,0.0,0.0,411262.0,3165684.0,7524036.0,4487082.0,549446.0,73474.0,15030.0,422.0,1814.0,17768638.0,25070.0,5844.0,1409830.0,1307188.0,3329544.0,8718190.0,1411540.0,19230.0,0.0,0.0,20252.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253422.0,10590.0,3052.0,45305816.0,7018666.0,542810.0,109054.0,54461360.0,6548958.0,5971396.0,269798.0,0.0,0.0,70369220.0,,,2976076.0,8914848.0,2773662.0,535560.0,753566.0,224744.0,33244.0,9670.0,5052.0,14.0,0.0,0.0,,,,,,,,,,,,,,
neg,160826,546.0,0.0,0.0,0.0,0.0,0.0,0.0,119060.0,2643472.0,6001326.0,2359170.0,123652.0,10414.0,5365966.0,0.0,0.0,0.0,1400.0,2374.0,9827858.0,8514432.0,2506682.0,1079590.0,0.0,0.0,2424.0,0.0,1980.0,690.0,0.0,0.0,0.0,0.0,0.0,326068.0,6031636.0,2491678.0,2407712.0,0.0,6306.0,1648.0,2968.0,6504.0,70040.0,11105648.0,54152.0,30.0,110.0,9688.0,4479476.0,2259756.0,958924.0,747984.0,638614.0,573948.0,622088.0,930224.0,45984.0,96.0,12338150.0,122.0,444.0,464.0,20.0,5365966.0,157990.0,1473214.0,1019148.0,227680.0,252400.0,249160.0,28100.0,160825.38,12338150.0,12338150.0,12321804.0,71301.0,14738.0,7598.0,216840.0,11257094.0,1209600.0,325278.0,9602227.2,0.0,1642991.04,4.0,2980.0,0.0,0.0,4732.0,694136.0,3643940.0,5201950.0,1606764.0,92300.0,12810.0,462.0,324.0,12338150.0,16368.0,1942.0,301414.0,730588.0,562668.0,6504850.0,3085266.0,53558.0,440.0,0.0,6940.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88158.0,139314.0,26856.0,0.0,0.0,371558.0,55086.0,498020.0,111962.0,0.0,0.0,0.0,0.0,10510410.0,4143.46,4518.0,1724620.0,2246444.0,1553048.0,685952.0,1497714.0,1632354.0,1077858.0,444070.0,389060.0,5974.0,0.0,0.0,362.0,0.0,370.0,0.0,318.0,766.0,4650.0,9320016.0,74302.0,0.0,85718.0,0.0,0.0,9682334.0
neg,151778,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,124544.0,3248670.0,6855784.0,1509984.0,67968.0,1442.0,5905902.0,0.0,104.0,0.0,1036.0,1634.0,10953196.0,9789932.0,2968238.0,755014.0,0.0,0.0,2646.0,0.0,11456.0,1328.0,0.0,0.0,0.0,0.0,0.0,258510.0,6094844.0,4046146.0,1408892.0,0.0,30444.0,26510.0,40928.0,1001586.0,8260302.0,2413456.0,35164.0,2.0,0.0,0.0,4562228.0,1691996.0,858186.0,715212.0,707172.0,720704.0,763108.0,1138726.0,551294.0,99766.0,13927148.0,644.0,1412.0,6368.0,86.0,5905902.0,134574.0,1947040.0,1013866.0,179220.0,252800.0,294560.0,155380.0,151777.34,13927148.0,13927148.0,13646340.0,85374.0,181750.0,32266.0,574260.0,11808392.0,1209600.0,456758.0,10136905.92,0.0,1654625.28,0.0,0.0,0.0,0.0,4322.0,694110.0,3713380.0,5716228.0,1495990.0,149902.0,31796.0,2664.0,2836.0,13927148.0,18008.0,3676.0,536088.0,802248.0,2770542.0,7112838.0,547340.0,17642.0,10.0,0.0,12798.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83282.0,197884.0,29074.0,0.0,0.0,332674.0,54276.0,2930500.0,658936.0,10243008.0,13528.0,0.0,0.0,11382930.0,6378.34,9364.0,1762548.0,3342168.0,1885640.0,868910.0,1444556.0,1013156.0,639198.0,368982.0,474406.0,8828.0,0.0,0.0,1026.0,0.0,312.0,0.0,2788.0,1646.0,3984.0,8494240.0,241526.0,0.0,5368.0,0.0,0.0,10280698.0
neg,25520,284.0,0.0,0.0,0.0,0.0,0.0,265896.0,1384046.0,439964.0,72214.0,4532.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,990.0,22.0,2742.0,312.0,0.0,0.0,0.0,0.0,470.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,679090.0,1487398.0,0.0,7732.0,3116.0,4702.0,18676.0,478344.0,1654082.0,0.0,0.0,0.0,0.0,782620.0,853154.0,339786.0,91436.0,37190.0,21552.0,22308.0,18588.0,18.0,0.0,3730.0,1648.0,2148.0,3396.0,28.0,726.0,32.0,1530.0,1142.0,,,,2720.0,25519.69,3730.0,3730.0,2388246.0,7623.0,2352.0,318.0,3680.0,2166652.0,1209600.0,52036.0,1467730.56,315474.24,380784.0,158.0,478.0,0.0,88830.0,1031446.0,773816.0,226430.0,42356.0,2766.0,934.0,74.0,0.0,26.0,3730.0,2992.0,294.0,84668.0,483348.0,111060.0,949448.0,512658.0,21892.0,292.0,0.0,2180.0,470.0,0.0,0.0,710.0,316308.0,0.0,0.0,0.0,0.0,54.0,2136.0,402.0,0.0,0.0,55888.0,7856.0,16940.0,7988.0,0.0,0.0,0.0,0.0,0.0,840.94,702.0,711906.0,304760.0,180558.0,94978.0,248240.0,169204.0,230468.0,224528.0,2010.0,0.0,0.0,0.0,184.0,32.0,82.0,0.0,14.0,240.0,1068.0,1452884.0,661548.0,0.0,3376.0,0.0,0.0,1485388.0
